,City,Purchase Power,Health Care,Pollution,QoL_H,Crime Rating,Unesco,lat,lng,Country
114,Vancouver,48.76564876564877,83.72154931452151,19.995671932482146,82.20975236236006,25.614644575093532,0.0,49.282729100000005,-123.1207375,Canada
115,Calgary,67.29846729846729,72.54092905630242,25.459857173771912,91.14320723929715,24.94655264564404,0.0,51.04473309999999,-114.0718831,Canada
116,Toronto,64.42026442026442,60.26886729668575,9.684051071196711,85.1324962092151,22.1004810261892,0.0,43.653226000000004,-79.3831843,Canada
117,Cambridge,56.6046566046566,80.72674031678424,61.869725167712616,81.48049073975295,17.851416354890432,0.0,42.373615799999996,-71.10973349999998,Canada
118,Ottawa,100.0,60.14907493677626,36.30166630599437,90.31139320101093,15.219134152859434,9.090909090909092,45.42152960000001,-75.69719309999998,Canada
119,Perth,65.2041652041652,79.50219619326502,25.459857173771912,83.18115496021618,52.31159807589524,0.0,-31.950526899999996,115.8604572,Australia
120,Melbourne,57.44705744705744,74.3245041927326,32.76347111014932,79.97354329203021,50.62800641368253,9.090909090909092,-37.813627600000004,144.96305759999998,Australia
121,Brisbane,55.38785538785539,90.58964461599895,24.009954555291063,84.57700728473759,46.73971138428648,0.0,-27.469770699999998,153.0251235,Australia
122,Gold Coast,58.184158184158186,81.72500998269668,33.055615667604414,86.99268640962364,42.971672902191344,0.0,-28.016666999999998,153.4,Australia
123,Adelaide,76.81057681057682,47.14494875549049,12.995022722354468,92.82108203405392,40.70016034206307,0.0,-34.9284989,138.6007456,Australia
124,Canberra,66.54966654966654,94.59603354186079,12.421553776238909,93.68138285447324,39.41742383752004,0.0,-35.2809368,149.1300092,Australia
125,Darwin,50.462150462150454,72.4743777452416,7.336074442761308,85.4031239665972,29.315873864243713,0.0,37.0929586,-95.58283359999999,Australia
126,Sydney,56.67485667485668,67.13696259816318,19.995671932482146,83.01023426741763,29.315873864243713,18.181818181818183,-33.8688197,151.2092955,Australia
127,Gaborone,28.782028782028785,9.250632237455083,33.055615667604414,15.086599817684595,52.29823623730625,0.0,-24.6282079,25.9231471,Botswana
128,Colombo,16.146016146016148,72.10169040330095,36.34494698117291,22.441258804618236,52.29823623730625,18.181818181818183,6.927078599999999,79.861243,Sri Lanka
129,Cairo,6.458406458406459,47.45108478637029,93.22657433455961,14.732748867874996,50.708177445216464,18.181818181818183,30.0444196,31.235711600000005,Egypt
130,Quito,9.196209196209198,15.41328364168774,15.970569140878595,53.10489023492538,50.10689470871191,9.090909090909092,-0.1806532,-78.4678382,Ecuador
131,Dublin,51.187551187551186,27.00652202848396,33.04479549880978,75.43646727596041,50.040085515766975,9.090909090909092,53.34980529999999,-6.2603097000000005,Ireland
132,Cork,48.67204867204867,57.88633036070811,19.995671932482146,81.76053290950644,33.36451095670764,0.0,32.807190000000006,-96.7963929,Ireland
133,Jakarta,12.87001287001287,23.292958871289766,62.65959748972083,25.810050695692336,49.986638161411015,0.0,-6.2087634000000005,106.84559899999999,Indonesia
134,Sofia,19.480519480519483,40.72940236922668,28.8141095001082,36.26442691488136,49.97327632282202,18.181818181818183,42.69770820000001,23.3218675,Bulgaria
135,Varna,16.333216333216335,39.132170903766806,87.47024453581476,35.301573678782916,34.20630678781401,18.181818181818183,43.2140504,27.914733299999998,Bulgaria
136,Tirana,13.361413361413362,31.42552908292294,87.47024453581476,32.335549353453175,49.612506680919296,9.090909090909092,41.3275459,19.8186982,Albania
137,Beijing,19.41031941031941,50.67216824171437,61.869725167712616,31.512819677458022,49.10475681453767,36.36363636363637,39.90419989999999,116.4073963,China
138,Shanghai,23.82122382122382,77.02648742180223,66.80372213806535,34.914141464149,7.549438802779266,9.090909090909092,31.230415999999998,121.473701,China
139,Ulaanbaatar,10.494910494910494,29.588712897644093,60.452283055615666,31.932708591118416,48.115980758952425,0.0,47.88639879999999,106.9057439,Mongolia
140,Amman,17.362817362817363,72.59417010515108,66.6847002813244,36.09208886992344,47.94227685729556,90.9090909090909,31.9539494,35.910635,Jordan
141,Haifa,44.05054405054405,69.0270198322907,32.30902402077472,69.29983681685222,47.74184927846072,63.63636363636363,32.7940463,34.989571000000005,Israel
142,Jerusalem,36.08283608283608,77.95820577665381,69.72516771261631,68.61045668923143,47.74184927846072,90.9090909090909,31.768319,35.21371,Israel
143,Bogota,9.523809523809526,70.62425129775058,15.732525427396665,44.495323616233094,46.9802244788883,0.0,4.7109885999999985,-74.072092,Colombia
